Flat No.,Area in Sqrt,No.of Bhk,Location,Price
2045,4100,4,"Sector 128, Noida", 3.48 Cr
2046,825,2,"Sector 137, Noida", 35 L
2047,1139,2,"Sector 100, Noida", 62 L
2048,2012,4,"Sector 100, Noida", 1.1 Cr
2049,1779,3,"Sector 100, Noida", 96 L
2050,1050,2,"Sector 45, Noida", 37 L
2051,650,2,"Sector 73, Noida", 25 L
2052,6500,5,"Sector 107, Noida", 7.8 Cr
2053,750,1,"Sector 121, Noida", 18 L
2054,950,2,"Sector 104, Noida", 29.6 L
2055,960,2,"Sector 110, Noida", 29.4 L
2056,6300,5,"Sector 128, Noida", 6.34 Cr
2057,1404,3,"Sector 150, Noida", 76.55 L
2058,1137,2,"Sector 150, Noida", 62 L
2059,1750,3,"Sector 150, Noida", 1.08 Cr
2060,3220,4,"Sector 150, Noida", 2.26 Cr
2061,2190,3,"Sector 150, Noida", 1.42 Cr
2062,2460,3,"Sector 150, Noida", 1.74 Cr
2063,1850,3,"Sector 150, Noida", 1.03 Cr
2064,1850,3,"Sector 150, Noida", 1.03 Cr
2065,1335,3,"Sector 150, Noida", 74.76 L
2066,1335,3,"Sector 150, Noida", 74.76 L
2067,1370,3,"Sector 134, Noida", 54 L
2068,950,2,"Sector 134, Noida", 33 L
2069,1570,3,"Sector 134, Noida", 60 L
2070,950,2,"Sector 134, Noida", 35 L
2071,950,2,"Sector 134, Noida", 33 L
2072,3850,4,"Sector 108, Noida", 2.7 Cr
2073,1385,2,"Sector 79, Noida", 99 L
2074,1155,2,"Sector 150, Noida", 63 L
2075,3501,4,"Sector 107, Noida", 4.7 Cr
2076,3501,4,"Sector 107, Noida", 4.7 Cr
2077,4482,4,"Sector 107, Noida", 6.05 Cr
2078,4482,4,"Sector 107, Noida", 6.05 Cr
2079,6570,5,"Sector 107, Noida", 8.9 Cr
2080,6570,5,"Sector 107, Noida", 8.9 Cr
2081,15000,10,"Sector 47, Noida", 12 Cr
2082,1475,3,"Sector 118, Noida", 67.11 L
2083,1650,3,"Sector 118, Noida", 75.07 L
2084,1995,3,"Sector 118, Noida", 90.77 L
2085,1095,2,"Sector 118, Noida", 49.82 L
2086,1255,2,"Sector 118, Noida", 57.1 L
2087,1795,3,"Sector 118, Noida", 81.67 L
2088,1775,3,"Sector 120, Noida", 80 L
2089,1719,3,"Sector 121, Noida", 1.28 Cr
2090,3198,4,"Sector 150, Noida", 3 Cr
2091,3198,4,"Sector 150, Noida", 3 Cr
2092,1305,2,"Sector 150, Noida", 1.15 Cr
2093,1305,2,"Sector 150, Noida", 1.15 Cr
